cid,brand,product,model_number,date_certified,category,frequency_band,wifi_support_list,wifi_n,wifi_ac,wifi_6,wifi_7
WFA133853,Shenzhen Qianyan Technology LTD,H1014,H1014-2,2024-12-31,Other,2.4 GHz,n,True,False,False,False
WFA133992,"Home Depot Product Authority, LLC",Smart portable air conditioner,VAPA07W5HWT,2024-12-31,Smart Home,2.4 GHz,n,True,False,False,False
WFA133804,The Light Phone Inc.,Light Phone III,TLP301,2024-12-30,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133974,TCL Communication Ltd.,T705J,T705J,2024-12-30,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133975,TCL Communication Ltd.,T705M,T705M,2024-12-30,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133000,"Tozed Kangwei Tech Co., Ltd",Dual Band Wi-Fi 6 GPON Gateway,ZLT G304VA,2024-12-30,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA129376,"Megatronix (Beijing) Technology Co., Ltd",DongFeng IVI,DF-M18,2024-12-27,Other,5 GHz,"n, ac",True,True,False,False
WFA133690,LG Electronics,TFJLEENN5E3,TFJLEENN5E3,2024-12-27,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133694,Skyworth Group,GPON ONT,SK-G7220,2024-12-27,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA133689,Senwa Global International SA de CV,Smart Phone,A60L,2024-12-26,Phones,2.4 GHz,n,True,False,False,False
WFA133940,H3C,H3C WA6321H WLAN AP with H3C WX Series WLAN Controller,H3C WA6321H WLAN AP,2024-12-26,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133889,Marshall Group AB,MUSIC STREAMING HUB,HEDDON,2024-12-26,"Gaming, Media & Music",2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA112400,BYD Auto Industry Company Limited,DiLink,DiLink 3.0,2024-12-26,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133359,"Tozed Kangwei Tech Co., Ltd",Airbox 5G,ZLT X31 PRO,2024-12-26,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA132424,"Kaonbroadband CO., LTD.",KB01-411H,KB01-411H,2024-12-26,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA133967,BYD Auto Industry Company Limited,In-vehicle Multimedia Host,MTCD03,2024-12-26,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133855,Signify,Wi-Fi connected,9290046037,2024-12-26,Other,2.4 GHz,n,True,False,False,False
WFA133957,"Home Depot Product Authority, LLC",Defiant Smart Stackable Indoor Dimmer Plug,HPPA81CWB,2024-12-26,Smart Home,2.4 GHz,n,True,False,False,False
WFA133856,Signify,Wi-Fi connected,9290046038,2024-12-26,Other,2.4 GHz,n,True,False,False,False
WFA133966,BYD Auto Industry Company Limited,In-vehicle Multimedia Screen,MTCJ20,2024-12-26,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA116349,H3C,H3C WA6322H-HI WLAN AP with H3C WX Series WLAN Controller,H3C WA6322H-HI WLAN AP with H3C WX Series WLAN Controller,2024-12-25,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133945,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar HG8145X7-10,2024-12-25,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133866,Seiko Epson Corporation,WLAN BT Module,NH7,2024-12-24,Computers & Accessories,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA125267,iRobot,Wi-Fi Dual band + BT Combo Module,6233E-UUB,2024-12-24,Other,2.4 GHz; 5 GHz,n,True,False,False,False
WFA133154,Morse Micro,HaLowLink 1,MM-HL1,2024-12-24,Routers,Sub-1 GHz; 2.4 GHz,n,True,False,False,False
WFA130742,"Ruckus Wireless, Inc.",R770,R770,2024-12-23,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA128613,Samsung Electronics,SM-A155F/DSN,SM-A155F/DSN,2024-12-23,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133516,Samsung Electronics,Smart Phone,SM-A066B/DS,2024-12-23,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133762,iRobot,Roomba,RCC-Y2,2024-12-20,Smart Home,2.4 GHz,n,True,False,False,False
WFA131878,Seiko Epson Corporation,WLAN BT Module,NH7,2024-12-20,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133857,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar K562-10,2024-12-19,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA128806,Fortinet Inc.,FortiAP-441K,FortiAP-441K,2024-12-19,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA133642,ZTE Corporation,Router,G5TS,2024-12-19,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133460,ZTE Corporation,Router,MC8531,2024-12-18,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA112401,"Espressif Systems (Shanghai) Co., Ltd.",WIFI&BT Internet of Things,ESP32-C3-MINI-1,2024-12-18,Other,2.4 GHz,n,True,False,False,False
WFA133842,"Beijing Roborock Technology Co., Ltd.",Robotic Vacuum Cleaner,A1460RR,2024-12-18,Smart Home,2.4 GHz,n,True,False,False,False
WFA133710,Qualcomm,QCC74xM,QCC74xM,2024-12-18,Other,2.4 GHz,"n, 6",True,False,True,False
WFA129090,NXP Semiconductors,IW416,IW416,2024-12-18,Other,2.4 GHz; 5 GHz,n,True,False,False,False
WFA133533,"CPSpeed CO., LTD.",Speed Wi-Fi DOCK 5G 01,CPS01,2024-12-17,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133827,Senwa Global International SA de CV,Mobile phone,A62LITE,2024-12-17,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133826,Senwa Global International SA de CV,Mobile phone,A62LX,2024-12-17,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133830,Linkplay,WiiM SUB,SUB001,2024-12-17,Smart Home,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA117027,"Nokia Shanghai Bell Co., Ltd.",GPON ONT G-1425G-B,G-1425G-B,2024-12-17,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133697,Robert Bosch Car Multimedia Suzhou,Infortainment cockpit,C2001,2024-12-17,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133475,ZTE Corporation,Home Gateway,ZXHN F8705E,2024-12-17,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA133474,ZTE Corporation,Home Gateway,ZXHN F6177E,2024-12-17,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA133829,Senwa Global International SA de CV,Mobile phone,AC92,2024-12-17,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133828,Senwa Global International SA de CV,Mobile phone,A62ULTRA,2024-12-17,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA119808,"Nokia Shanghai Bell Co., Ltd.",GPON ONT G-0425G-C,G-0425G-C,2024-12-17,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133837,H3C,H3C WA7320i WLAN AP with H3C WX Series WLAN Controller,H3C WA7320i WLAN AP,2024-12-17,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA127031,"Nokia Shanghai Bell Co., Ltd.",GPON G-0425G-D,G-0425G-D,2024-12-17,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA113871,"Nokia Shanghai Bell Co., Ltd.",GPON ONT G-0425G-A,G-0425G-A,2024-12-17,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
