cid,brand,product,model_number,date_certified,category,frequency_band,wifi_support_list,wifi_n,wifi_ac,wifi_6,wifi_7
WFA139691,GEWISS S.p.A,Home Gateway,GWC2X856,2026-02-20,Smart Home,2.4 GHz,n,True,False,False,False
WFA132962,HP PPS India Operations Ltd,Wireless HP Jetdirect 3200w accessory with HP Color LaserJet 5700,9R1U0A,2026-02-18,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA111638,Honeywell Safety and Productivity Solutions,Mobile Computer,CT45-L0N,2026-02-16,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA124455,Honeywell Safety and Productivity Solutions,Mobile Computer,CT47X1N,2026-02-16,Phones,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA131199,"Harman International Industries, Inc.",TKCMOD11000W,V333,2026-02-13,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA135351,"Harman International Industries, Inc.",TKCMOD12J00W,V158,2026-02-13,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA139678,Sharp Corporation,SHARP LCD TV,4T-C75HJ6000IG,2026-02-13,Televisions & Set Top Boxes,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA111150,"Harman International Industries, Inc.",TKCMOD12E00,V037,2026-02-13,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139365,Vimar Spa,Gateway IoT Bluetooth Wi-Fi,IoT connected gateway 2M,2026-02-13,Smart Home,2.4 GHz,n,True,False,False,False
WFA135350,"Harman International Industries, Inc.",TKCMOD12N00W,V160,2026-02-13,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA139669,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SLBDE0AJA,2026-02-12,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139448,"Synaptics, Inc.",SYN4384,4384,2026-02-12,Other,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA139670,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SLBDE2AJA,2026-02-12,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139339,"Panasonic Entertainment & Communication Co., Ltd",LCDTV,26-2ktv,2026-02-12,Televisions & Set Top Boxes,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139115,"Shenzhen Bluetrum Technology Co.,Ltd.",WIFI&BT Internet of Things Module,AB-M6003G-I,2026-02-12,Other,2.4 GHz,n,True,False,False,False
WFA139636,Nokia Corporation,Nokia ONT,XS-0427G-A,2026-02-11,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA135993,ZTE Corporation,Router,U20S Pro,2026-02-10,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA139604,BYD Auto Industry Company Limited,Central Computing Platform,MTED01,2026-02-10,Other,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA139661,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar K562e-20,2026-02-10,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA139571,B&W Group Ltd.,Wireless Speaker,Bowers & Wilkins CASA Studio,2026-02-10,"Gaming, Media & Music",2.4 GHz; 6 GHz,"n, 6",True,False,True,False
WFA139566,B&W Group Ltd.,Wireless Soundbar,Bowers & Wilkins CASA Cinema,2026-02-10,"Gaming, Media & Music",2.4 GHz; 6 GHz,"n, 6",True,False,True,False
WFA139565,B&W Group Ltd.,Wireless Subwoofer,Bowers & Wilkins CASA Sub,2026-02-10,"Gaming, Media & Music",2.4 GHz; 6 GHz,"n, 6",True,False,True,False
WFA138969,COOSEA  GROUP  (HK)  COMPANY  LIMITED,Feature Phone,SN331CC,2026-02-10,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139642,Vodafone Group PLC,EasyBox 7,ZXHN H1700M,2026-02-09,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA125649,"TSC Auto ID Technology Co., Ltd.",Barcode Printer,DH220W,2026-02-09,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA130772,NXP Semiconductors,RW612,RW612,2026-02-06,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138378,Nokia Corporation,Nokia WiFi Beacon 19.1,Beacon 19.1,2026-02-06,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA139151,"Wuxi Autolink Intelligence Tech Co., Ltd",vehicle-mounted wireless terminal,T12A8155C,2026-02-06,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139627,Volkswagen China Technical Company,Xpilot Central Computer Platform,MM V02,2026-02-06,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA137938,Orange,WE82242-H2-LT,WE82242-H2-LT,2026-02-06,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA139126,NXP Semiconductors,W693,W693,2026-02-05,Other,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA139583,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SLDCEBAJA,2026-02-04,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139584,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SLDCE8AJB,2026-02-04,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139580,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SLDCE0AJB,2026-02-04,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139600,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL2EE6AJB,2026-02-04,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139558,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SSQFE2AJA,2026-02-04,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA130817,"Harman International Industries, Inc.",TKCMOD12E00W,V157,2026-02-04,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA139592,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL1DE1AJB,2026-02-04,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139594,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SLDDE8AJC,2026-02-04,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
